UsageDate,ResourceId,ResourceType,ResourceLocation,ResourceGroupName,ServiceName,ServiceTier,Meter,CostUSD,Cost,Currency
14/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privateendpoints/oab-az-sophius-prd-oai-gpt-4o-mini-01-pet,microsoft.network/privateendpoints,IN Central,oab-az-sophius-prd-rsg-02,Virtual Network,Virtual Network Private Link,Standard Private Endpoint,0.225391753,20.10945216,INR
15/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privatednszones/privatelink.openai.azure.com,microsoft.network/privatednszones,global,oab-az-sophius-prd-rsg-02,Azure DNS,Azure DNS,Private Zone,0.015147295,1.351441677,INR
15/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privateendpoints/oab-az-sophius-prd-oai-gpt-4o-01-pet,microsoft.network/privateendpoints,IN Central,oab-az-sophius-prd-rsg-02,Virtual Network,Virtual Network Private Link,Standard Private Endpoint,0.225391753,20.10945216,INR
15/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privateendpoints/oab-az-sophius-prd-oai-gpt-4o-mini-01-pet,microsoft.network/privateendpoints,IN Central,oab-az-sophius-prd-rsg-02,Virtual Network,Virtual Network Private Link,Standard Private Endpoint,0.225391753,20.10945216,INR
16/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privatednszones/privatelink.openai.azure.com,microsoft.network/privatednszones,global,oab-az-sophius-prd-rsg-02,Azure DNS,Azure DNS,Private Zone,0.015147295,1.351441677,INR
16/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privateendpoints/oab-az-sophius-prd-oai-gpt-4o-01-pet,microsoft.network/privateendpoints,IN Central,oab-az-sophius-prd-rsg-02,Virtual Network,Virtual Network Private Link,Standard Private Endpoint,0.225391753,20.10945216,INR
16/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privateendpoints/oab-az-sophius-prd-oai-gpt-4o-mini-01-pet,microsoft.network/privateendpoints,IN Central,oab-az-sophius-prd-rsg-02,Virtual Network,Virtual Network Private Link,Standard Private Endpoint,0.225391753,20.10945216,INR
17/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privatednszones/privatelink.openai.azure.com,microsoft.network/privatednszones,global,oab-az-sophius-prd-rsg-02,Azure DNS,Azure DNS,Private Zone,0.015147295,1.351441677,INR
17/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privateendpoints/oab-az-sophius-prd-oai-gpt-4o-01-pet,microsoft.network/privateendpoints,IN Central,oab-az-sophius-prd-rsg-02,Virtual Network,Virtual Network Private Link,Standard Private Endpoint,0.225391753,20.10945216,INR
17/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privateendpoints/oab-az-sophius-prd-oai-gpt-4o-mini-01-pet,microsoft.network/privateendpoints,IN Central,oab-az-sophius-prd-rsg-02,Virtual Network,Virtual Network Private Link,Standard Private Endpoint,0.225391753,20.10945216,INR
18/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privatednszones/privatelink.openai.azure.com,microsoft.network/privatednszones,global,oab-az-sophius-prd-rsg-02,Azure DNS,Azure DNS,Private Zone,0.015147295,1.351441677,INR
18/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privateendpoints/oab-az-sophius-prd-oai-gpt-4o-01-pet,microsoft.network/privateendpoints,IN Central,oab-az-sophius-prd-rsg-02,Virtual Network,Virtual Network Private Link,Standard Private Endpoint,0.225391753,20.10945216,INR
18/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privateendpoints/oab-az-sophius-prd-oai-gpt-4o-mini-01-pet,microsoft.network/privateendpoints,IN Central,oab-az-sophius-prd-rsg-02,Virtual Network,Virtual Network Private Link,Standard Private Endpoint,0.225391753,20.10945216,INR
19/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privatednszones/privatelink.openai.azure.com,microsoft.network/privatednszones,global,oab-az-sophius-prd-rsg-02,Azure DNS,Azure DNS,Private Zone,0.015147295,1.351441677,INR
19/12/25,/subscriptions/4688b72b-c3b3-4eda-b632-e969386f8a1f/resourcegroups/oab-az-sophius-prd-rsg-02/providers/microsoft.network/privateendpoints/oab-az-sophius-prd-oai-gpt-4o-01-pet,microsoft.network/privateendpoints,IN Central,oab-az-sophius-prd-rsg-02,Virtual Network,Virtual Network Private Link,Standard Private Endpoint,0.225391753,20.10945216,INR
