service_description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,List cost (â‚¹),Negotiated savings (â‚¹),Savings programs (â‚¹),Other savings (â‚¹),Unrounded subtotal (â‚¹),Subtotal,Percent change in subtotal compared to previous period
Cloud Storage,95FF-2EF5-5EA1,Archive Storage Mumbai,891B-EBF4-A8DC,0.02,gibibyte month,0,0,0,0,0.004356,0,0%
Cloud Storage,95FF-2EF5-5EA1,Multi-Region Standard Class B Operations,8AE7-5BBD-8F38,126,count,0,0,0,0,0.003822,0,0%
BigQuery,24E6-581D-38E5,Streaming Insert (asia-south1),AC85-E714-3881,0.036,mebibyte,0,0,0,0,0.000161,0,-100%
Vertex AI,C7E2-9256-1C43,Gemini 3.0 Pro Text Input Caching,8308-9CED-8950,1,count,0,0,0,0,0.000017,0,0%
Geocoding API,0AC2-4B25-C429,Geocoding (India),AB12-DA89-B523,705,count,0,0,0,0,0,0,0%
Maps API,1934-AA85-20F9,Dynamic Maps (India),AA0F-63D7-9D0E,359,count,0,0,0,0,0,0,0%
Places API,213C-9623-1402,Atmosphere Data (India),0CE0-1963-137E,59,count,0,0,0,0,0,0,0%
Places API,213C-9623-1402,Places - Text Search (India),102E-888D-5596,39,count,0,0,0,0,0,0,0%
Places API,213C-9623-1402,Basic Data (India),5D7B-1F7B-395E,59,count,0,0,0,0,0,0,0%
Places API,213C-9623-1402,Places Photo (India),9F4B-2E19-1B63,40,count,0,0,0,0,0,0,0%
Places API,213C-9623-1402,Contact Data (India),A03F-5079-C66C,59,count,0,0,0,0,0,0,0%
Places API,213C-9623-1402,Places - Nearby Search (India),CC66-BE0E-2477,16,count,0,0,0,0,0,0,0%
Places API,213C-9623-1402,Places Details (India),F7AA-FEF9-C90E,4,count,0,0,0,0,0,0,0%
Cloud Logging,5490-F7B7-8DF6,Log Storage cost,143F-A1B0-E0BE,0.003,gibibyte,0,0,0,0,0,0,0%
Cloud Storage,95FF-2EF5-5EA1,Download APAC,1F8B-71B0-3D1B,0.413,gibibyte,0,0,0,0,0,0,-100%
Cloud Storage,95FF-2EF5-5EA1,Download Worldwide Destinations (excluding Asia & Australia),22EB-AAE8-FBCD,0.005,gibibyte,0,0,0,0,0,0,0%
Directions API,B7D9-FDCB-15D8,Directions Advanced (India),E27B-BD57-FD7D,78,count,0,0,0,0,0,0,0%
,,,,,,,,,Subtotal,3457.887028,3457.89,
,,,,,,,,,Tax,0,0,
,,,,,,,,,Filtered total,3457.887028,3457.89,
